location_name,permit_number,start_time,stop_time,duration_minutes
AKELEY (EX STW) PS,AnW0003,2021-01-26T18:15:00,2021-01-26T18:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T18:30:00,2021-01-26T18:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T19:15:00,2021-01-26T19:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T19:45:00,2021-01-26T20:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T20:15:00,2021-01-26T20:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T20:45:00,2021-01-26T21:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-27T08:30:00,2021-01-27T08:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-27T09:00:00,2021-01-27T09:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-27T09:30:00,2021-01-27T09:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-27T10:15:00,2021-01-27T10:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-27T10:30:00,2021-01-27T10:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-27T11:30:00,2021-01-27T11:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-27T13:15:00,2021-01-27T13:45:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-27T13:45:00,2021-01-27T14:15:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-27T14:30:00,2021-01-27T14:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-27T14:45:00,2021-01-28T00:45:00,600.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T00:45:00,2021-01-28T01:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T01:00:00,2021-01-28T01:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T01:15:00,2021-01-28T01:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T01:30:00,2021-01-28T01:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T02:00:00,2021-01-28T02:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T02:15:00,2021-01-28T02:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T02:30:00,2021-01-28T02:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T02:45:00,2021-01-28T03:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T03:30:00,2021-01-28T03:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T03:45:00,2021-01-28T04:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T04:00:00,2021-01-28T04:30:00,30.0
